<TICKER>,<PER>,<DATE>,<TIME>,<USD_OPEN>,<USD_HIGH>,<USD_LOW>,<USD_CLOSE>,<USD_VOL>
USDRUB,60,20151101,230000,63.6750000,63.6750000,63.6750000,63.6750000,1
USDRUB,60,20151102,000000,63.6750000,64.0934000,62.3727000,64.0612000,31
USDRUB,60,20151102,010000,64.3567000,64.5614000,64.0450000,64.2646000,63
USDRUB,60,20151102,020000,64.5601000,64.5622000,63.5524000,64.2648000,50
USDRUB,60,20151102,030000,64.5603000,64.5603000,62.6139000,62.6139000,16
USDRUB,60,20151102,040000,63.2922000,64.1285000,62.6941000,62.9896000,19
USDRUB,60,20151102,050000,62.9896000,64.1650000,62.6554000,64.1650000,17
USDRUB,60,20151102,060000,63.9200000,64.1468000,63.6750000,63.6750000,14
USDRUB,60,20151102,070000,63.6750000,64.1298000,63.6750000,63.9024000,16
USDRUB,60,20151102,080000,63.9024000,64.0750000,63.8348000,63.8548000,1538
USDRUB,60,20151102,090000,63.8548000,64.1150000,63.8325000,64.0650000,403
USDRUB,60,20151102,100000,64.1125000,64.2100000,63.3595000,63.9648000,121
USDRUB,60,20151102,110000,63.8900000,64.1595000,63.2944000,63.8838000,572
USDRUB,60,20151102,120000,64.0437000,64.0437000,63.4450000,63.6636000,1827
USDRUB,60,20151102,130000,63.7325000,63.9085000,63.5100000,63.7192000,36157
USDRUB,60,20151102,140000,63.7203000,64.0360000,63.6767000,63.9196000,31210
USDRUB,60,20151102,150000,63.9207000,64.2416000,63.8787000,64.2149000,27402
USDRUB,60,20151102,160000,64.2230000,64.4097000,64.1365000,64.3241000,24979
USDRUB,60,20151102,170000,64.3241000,64.3828000,64.2277000,64.3271000,24092
USDRUB,60,20151102,180000,64.3245000,64.3664000,64.0514000,64.0643000,27554
USDRUB,60,20151102,190000,64.0576000,64.1802000,63.9907000,64.0216000,31772
USDRUB,60,20151102,200000,64.0216000,64.2071000,63.9704000,64.0810000,32279
USDRUB,60,20151102,210000,64.0810000,64.1297000,63.8697000,64.0138000,26408
USDRUB,60,20151102,220000,64.0138000,64.0581000,63.8542000,64.0299000,21304
USDRUB,60,20151102,230000,64.0345000,64.0414000,63.6220000,63.7584000,20642
USDRUB,60,20151103,000000,63.7716000,63.8486000,63.5270000,63.7328000,22657
USDRUB,60,20151103,010000,63.7337000,63.7676000,63.5830000,63.7046000,22456
USDRUB,60,20151103,020000,63.7046000,63.7474000,63.0433000,63.0559000,19344
USDRUB,60,20151103,030000,63.0559000,63.7339000,62.8711000,63.1650000,3878
USDRUB,60,20151103,040000,63.1650000,63.7251000,62.7445000,63.5254000,3277
USDRUB,60,20151103,050000,63.5254000,63.8525000,63.2903000,63.4629000,2432
USDRUB,60,20151103,060000,63.6978000,63.8689000,63.4629000,63.4629000,385
USDRUB,60,20151103,070000,63.7348000,63.7348000,63.4161000,63.6156000,986
USDRUB,60,20151103,080000,63.6156000,63.7372000,63.3649000,63.6046000,1154
USDRUB,60,20151103,090000,63.6046000,63.7487000,63.2804000,63.6126000,1183
USDRUB,60,20151103,100000,63.6126000,63.7883000,63.4622000,63.7451000,997
USDRUB,60,20151103,110000,63.7878000,63.8309000,63.3792000,63.3792000,642
USDRUB,60,20151103,120000,63.7889000,63.8408000,63.3792000,63.7971000,1498
USDRUB,60,20151103,130000,63.7971000,64.0259000,63.6500000,63.7852000,30616
USDRUB,60,20151103,140000,63.7852000,63.9575000,63.6282000,63.9216000,29762
USDRUB,60,20151103,150000,63.8717000,64.0866000,63.8149000,63.8785000,25331
USDRUB,60,20151103,160000,63.8785000,63.9222000,63.2809000,63.4342000,33169
USDRUB,60,20151103,170000,63.4342000,63.5291000,63.0742000,63.1921000,32446
USDRUB,60,20151103,180000,63.1921000,63.3816000,63.1622000,63.2763000,25456
USDRUB,60,20151103,190000,63.2922000,63.5467000,63.1907000,63.2197000,29220
USDRUB,60,20151103,200000,63.2175000,63.2437000,62.6672000,62.8396000,34434
USDRUB,60,20151103,210000,62.8406000,63.0679000,62.5377000,62.7646000,32162
USDRUB,60,20151103,220000,62.7646000,62.9236000,62.5640000,62.8246000,22161
USDRUB,60,20151103,230000,62.8246000,62.8667000,62.4270000,62.5371000,18895
USDRUB,60,20151104,000000,62.5376000,62.6359000,62.2940000,62.4281000,21657
USDRUB,60,20151104,010000,62.4281000,62.5291000,62.2070000,62.4391000,29340
USDRUB,60,20151104,020000,62.4391000,62.6338000,62.3200000,62.5426000,25233
USDRUB,60,20151104,030000,62.5426000,62.6760000,62.3105000,62.3105000,3747
USDRUB,60,20151104,040000,62.6065000,62.6810000,61.5638000,62.2614000,1016
USDRUB,60,20151104,050000,62.5526000,62.6249000,62.0858000,62.5584000,31
USDRUB,60,20151104,060000,62.5584000,62.6152000,62.0656000,62.6152000,18
USDRUB,60,20151104,070000,62.6152000,62.7820000,62.1724000,62.1845000,21
USDRUB,60,20151104,080000,62.4800000,62.7820000,62.4800000,62.6030000,12
USDRUB,60,20151104,090000,62.6030000,62.7820000,62.4850000,62.4850000,12
USDRUB,60,20151104,100000,62.4850000,62.4850000,62.1633000,62.4850000,22
USDRUB,60,20151104,110000,62.4850000,62.5450000,62.1025000,62.3228000,47
USDRUB,60,20151104,120000,62.3235000,62.5930000,62.1275000,62.2941000,864
USDRUB,60,20151104,130000,62.2941000,62.6976000,62.2342000,62.6976000,8457
USDRUB,60,20151104,140000,62.6976000,63.0670000,62.5602000,63.0219000,11663
USDRUB,60,20151104,150000,63.0072000,63.0554000,62.5842000,62.6941000,13446
USDRUB,60,20151104,160000,62.6941000,62.7392000,62.5520000,62.6544000,11738
