<TICKER>,<PER>,<DATE>,<TIME>,<AF_OPEN>,<AF_HIGH>,<AF_LOW>,<AF_CLOSE>,<AF_VOL>
DJ.A1FIN,60,20151102,010000,246.5579934,246.5632565,246.5422039,246.5474670,30
DJ.A1FIN,60,20151102,020000,246.5422039,246.5685197,246.5422039,246.5632565,45
DJ.A1FIN,60,20151102,030000,246.5579934,246.5685197,246.5579934,246.5685197,27
DJ.A1FIN,60,20151102,040000,246.5632565,246.5737828,246.5632565,246.5685197,36
DJ.A1FIN,60,20151102,050000,246.5737828,246.5737828,246.5527302,246.5579934,26
DJ.A1FIN,60,20151102,060000,246.5527302,246.5737828,246.5474670,246.5632565,21
DJ.A1FIN,60,20151102,070000,246.5579934,246.5737828,246.5527302,246.5527302,132
DJ.A1FIN,60,20151102,080000,246.5579934,246.5685197,246.5369407,246.5579934,207
DJ.A1FIN,60,20151102,090000,246.5527302,246.5579934,246.5000986,246.5053618,224
DJ.A1FIN,60,20151102,100000,246.5106249,246.5211512,246.4843091,246.4843091,218
DJ.A1FIN,60,20151102,110000,246.4895723,246.5000986,246.4737828,246.4895723,233
DJ.A1FIN,60,20151102,120000,246.4843091,246.5158881,246.4843091,246.5053618,230
DJ.A1FIN,60,20151102,130000,246.5106249,246.5211512,246.4895723,246.5106249,286
DJ.A1FIN,60,20151102,140000,246.5158881,246.5264144,246.4895723,246.5211512,357
DJ.A1FIN,60,20151102,150000,246.5158881,248.1369414,246.5000986,247.8264149,495
DJ.A1FIN,60,20151102,160000,247.8422044,248.1474677,247.7106254,247.9737834,523
DJ.A1FIN,60,20151102,170000,247.9895729,248.3632572,247.6790464,247.9579939,503
DJ.A1FIN,60,20151102,180000,247.9527308,248.4316783,247.8895728,248.4211520,425
DJ.A1FIN,60,20151102,190000,248.4053625,248.4843099,248.0737834,248.4106257,442
DJ.A1FIN,60,20151102,200000,248.4158888,249.5843104,248.4158888,249.5632577,431
DJ.A1FIN,60,20151102,210000,249.5422051,249.9632579,249.3211524,249.5422051,489
DJ.A1FIN,60,20151102,220000,249.5579946,249.5948367,249.5527314,249.5895735,132
DJ.A1FIN,60,20151103,010000,249.5685209,249.5843104,249.5632577,249.5790472,112
DJ.A1FIN,60,20151103,020000,249.5843104,249.6000998,249.5790472,249.5895735,84
DJ.A1FIN,60,20151103,030000,249.5843104,249.6000998,249.5790472,249.5843104,110
DJ.A1FIN,60,20151103,040000,249.5895735,249.6000998,249.5685209,249.6000998,182
DJ.A1FIN,60,20151103,050000,249.5895735,249.6000998,249.5790472,249.5948367,74
DJ.A1FIN,60,20151103,060000,249.5895735,249.6000998,249.5843104,249.5948367,98
DJ.A1FIN,60,20151103,070000,249.5843104,249.6000998,249.5790472,249.5948367,179
DJ.A1FIN,60,20151103,080000,249.5895735,249.6053630,249.5843104,249.5948367,263
DJ.A1FIN,60,20151103,090000,249.6000998,249.6106262,249.5527314,249.5632577,304
DJ.A1FIN,60,20151103,100000,249.5685209,249.5685209,249.5264156,249.5527314,318
DJ.A1FIN,60,20151103,110000,249.5474682,249.5737840,249.5422051,249.5579946,285
DJ.A1FIN,60,20151103,120000,249.5527314,249.6000998,249.5474682,249.5790472,295
DJ.A1FIN,60,20151103,130000,249.5737840,249.7000999,249.5685209,249.6895736,344
DJ.A1FIN,60,20151103,140000,249.6948367,249.7053630,249.5685209,249.6422051,361
DJ.A1FIN,60,20151103,150000,249.6474683,249.6790472,248.3000993,248.9895733,484
DJ.A1FIN,60,20151103,160000,249.0211522,250.0369421,249.0211522,249.5843104,558
DJ.A1FIN,60,20151103,170000,249.5948367,250.3369422,249.3843103,250.3106264,508
DJ.A1FIN,60,20151103,180000,250.2948370,250.3369422,249.9001000,250.2106264,494
DJ.A1FIN,60,20151103,190000,250.2053632,250.4474686,250.1158895,250.3106264,493
DJ.A1FIN,60,20151103,200000,250.3001001,250.9579951,250.2737843,250.7211529,496
DJ.A1FIN,60,20151103,210000,250.7316792,250.7948372,250.1001000,250.2211527,472
DJ.A1FIN,60,20151103,220000,250.2264159,250.2316790,250.2053632,250.2158896,143
DJ.A1FIN,60,20151104,010000,250.1895738,250.2211527,250.1895738,250.2001001,160
